log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
1.091065344,1.401426014,0.436251099,0.438063149,X133_Domestic_Goat__maxbin2_high_prob_002_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
30.0,1.081220658,1.92e-169,6.2e-169,X136_Domestic_Pig__maxbin2_high_prob_007_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
28.29649204,1.122249921,2.81e-140,6.51e-140,X136_Domestic_Pig__metabat2_low_PE_007_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA1191
-3.911200413,0.76992499,3.77e-07,3.96e-07,X139_Sambar__maxbin2_low_prob_005_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
28.23986693,1.302797459,3.43e-104,5.27e-104,X172_European_Greenfinch__maxbin2_low_prob_001_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B
29.23575912,1.359378842,1.35e-102,2.05e-102,X18_West_European_Hedgehog__maxbin2_low_prob_003_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus
25.63722087,1.229677488,1.57e-96,2.27e-96,X19_European_Ground_Squirrel__metabat2_low_PE_003_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-611,
-4.622577655,0.69049275,2.16e-11,2.32e-11,X190_Common_House_Gecko__metabat2_low_PE_001_contigs,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Pseudonocardiaceae,Saccharopolyspora
3.426364525,1.135801814,0.002555491,0.002623312,X199_Human__maxbin2_high_prob_002_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E
6.731386459,1.08625274,5.76e-10,6.13e-10,X199_Human__maxbin2_low_prob_003_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E
9.246796499,0.587592615,8.47e-56,9.99e-56,X199_Human__metabat2_high_PE_003_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-45
27.07242971,1.18380627,9.46e-116,1.58e-115,X199_Human__metabat2_high_PE_009_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-302,CAG-302
7.560000753,1.046456636,5.03e-13,5.41e-13,X199_Human__metabat2_high_PE_027_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
6.465826568,0.842863512,1.7e-14,1.84e-14,X199_Human__metabat2_low_PE_023_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
26.94355881,1.502805504,7.02e-72,8.92e-72,X213_Goose__maxbin2_high_prob_003_contigs,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,NHYM01
27.41955593,1.648804708,4.23e-62,5.13e-62,X22_European_Rabbit__metabat2_high_PE_007_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
27.37047422,1.364873093,1.88e-89,2.63e-89,X22_European_Rabbit__metabat2_low_PE_003_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella
27.69739063,0.91653862,1.31e-200,6.28e-200,X231_Brown_Bear__maxbin2_low_prob_001_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia
26.75750221,0.896296645,7.93e-196,3.62e-195,X236_Pygmy_Slow_Loris__metabat2_high_PE_002_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella
-3.301348452,0.823530196,6.1e-05,6.36e-05,X237_Red_shanked_Douc_Langur__metabat2_high_PE_002_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
27.31602692,0.882000268,1.34e-210,7.3e-210,X240_Southern_White_cheeked_Gibbon__metabat2_high_PE_003_contigs,Bacteria,Firmicutes,Bacilli,RFN20,CAG-288,CAG-568
4.042547543,1.442763998,0.00507953,0.005197783,X241_Italian_wall_lizard__maxbin2_high_prob_002_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
27.98962628,1.483829501,2.29e-79,3.06e-79,X247_Common_Hamster__maxbin2_high_prob_003_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
8.141466082,1.050724886,9.3e-15,1.01e-14,X257_Eurasian_Woodcock__maxbin2_low_prob_002_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
27.8174269,1.870522301,5.05e-50,5.77e-50,X263_White_Stork__maxbin2_low_prob_001_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Catellicoccaceae,
