Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Arginine dihydrolase,True,d__Bacteria,p__Bacteroidota,Neither,52
Arginine dihydrolase,False,d__Bacteria,p__Campylobacterota,Host,5
Arginine dihydrolase,False,d__Bacteria,p__Campylobacterota,Neither,14
Arginine dihydrolase,True,d__Bacteria,p__Campylobacterota,Host,1
Arginine dihydrolase,False,d__Bacteria,p__Chloroflexota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Cyanobacteria,Host,11
Arginine dihydrolase,False,d__Bacteria,p__Cyanobacteria,Neither,2
Arginine dihydrolase,True,d__Bacteria,p__Cyanobacteria,Host,2
Arginine dihydrolase,False,d__Bacteria,p__Deferribacterota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Arginine dihydrolase,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Arginine dihydrolase,False,d__Bacteria,p__Elusimicrobiota,Host,3
Arginine dihydrolase,False,d__Bacteria,p__Elusimicrobiota,Neither,1
Arginine dihydrolase,True,d__Bacteria,p__Elusimicrobiota,Host,1
Arginine dihydrolase,True,d__Bacteria,p__Elusimicrobiota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Eremiobacterota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Fibrobacterota,Host,4
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes,Host,56
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes,Neither,58
Arginine dihydrolase,True,d__Bacteria,p__Firmicutes,Host,48
Arginine dihydrolase,True,d__Bacteria,p__Firmicutes,Neither,26
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_A,Host,381
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_A,Neither,154
Arginine dihydrolase,True,d__Bacteria,p__Firmicutes_A,Host,57
Arginine dihydrolase,True,d__Bacteria,p__Firmicutes_A,Neither,19
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_B,Host,2
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_B,Neither,2
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_C,Host,16
Arginine dihydrolase,False,d__Bacteria,p__Firmicutes_C,Neither,13
Arginine dihydrolase,False,d__Bacteria,p__Fusobacteriota,Host,1
Arginine dihydrolase,False,d__Bacteria,p__Fusobacteriota,Neither,11
Arginine dihydrolase,True,d__Bacteria,p__Fusobacteriota,Host,1
Arginine dihydrolase,True,d__Bacteria,p__Fusobacteriota,Neither,4
Arginine dihydrolase,False,d__Bacteria,p__Myxococcota,Host,2
Arginine dihydrolase,True,d__Bacteria,p__Patescibacteria,Host,1
Arginine dihydrolase,True,d__Bacteria,p__Patescibacteria,Neither,3
Arginine dihydrolase,False,d__Bacteria,p__Planctomycetota,Host,1
Arginine dihydrolase,False,d__Bacteria,p__Planctomycetota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Proteobacteria,Environment,5
Arginine dihydrolase,False,d__Bacteria,p__Proteobacteria,Host,19
Arginine dihydrolase,False,d__Bacteria,p__Proteobacteria,Neither,32
Arginine dihydrolase,True,d__Bacteria,p__Proteobacteria,Environment,3
Arginine dihydrolase,True,d__Bacteria,p__Proteobacteria,Host,5
Arginine dihydrolase,True,d__Bacteria,p__Proteobacteria,Neither,8
